Time (s)	Shear rate (1/s), Domain Probe 1	maximum_linear_speed_of_object, Domain Probe 2
0.060907	284.92	NaN
0.061087	281.44	NaN
0.061447	275.42	NaN
0.061627	271.88	NaN
0.061627	260.74	NaN
0.061728	264.26	NaN
0.061813	262.91	NaN
0.061983	260.23	NaN
0.062323	254.62	NaN
0.062493	251.31	NaN
0.062832	245.57	NaN
0.063002	242.21	NaN
0.063342	236.43	NaN
0.063512	233.12	NaN
0.063597	231.35	NaN
0.063767	228.54	NaN
0.064107	222.86	NaN
0.064276	219.49	NaN
0.064616	213.75	NaN
0.064786	210.34	NaN
0.065126	204.54	NaN
0.065296	201.10	NaN
0.065296	192.39	NaN
0.065396	195.30	NaN
0.065483	193.94	NaN
0.065655	191.21	NaN
0.066000	185.53	NaN
0.066172	182.13	NaN
0.066517	176.35	NaN
0.067206	164.94	NaN
0.067550	158.25	NaN
0.067723	154.90	NaN
0.068067	149.24	NaN
0.068240	145.86	NaN
0.068584	140.17	NaN
0.068757	136.77	NaN
0.069101	139.82	NaN
0.069274	143.27	NaN
0.069274	138.47	NaN
0.069368	141.99	NaN
0.069446	143.33	NaN
0.069601	146.09	NaN
0.069912	151.50	NaN
0.070067	154.65	NaN
0.070378	160.02	NaN
0.070534	163.16	NaN
0.070845	168.52	NaN
0.071000	171.79	NaN
0.071311	177.45	NaN
0.071466	180.73	NaN
0.071777	186.37	NaN
0.071932	189.64	NaN
0.072243	195.26	NaN
0.072399	198.53	NaN
0.072709	204.13	NaN
0.072865	207.39	NaN
0.073176	213.08	NaN
0.073176	206.54	NaN
0.073312	211.34	NaN
0.073412	213.31	NaN
0.073612	217.01	NaN
0.073713	219.06	NaN
0.073913	222.72	NaN
0.074013	224.75	NaN
0.074214	228.39	NaN
0.074314	230.42	NaN
0.074514	234.05	NaN
0.074614	236.08	NaN
0.074815	239.69	NaN
0.074915	241.72	NaN
0.075115	245.33	NaN
0.075215	247.42	NaN
0.075416	251.17	NaN
0.075516	253.26	NaN
0.075716	256.99	NaN
0.075816	259.07	NaN
0.076017	262.79	NaN
0.076117	264.87	NaN
0.076317	268.58	NaN
0.076418	270.64	NaN
0.076618	274.34	NaN
0.076718	276.39	NaN
0.076919	280.07	NaN
0.077019	282.12	NaN
0.077019	272.94	NaN
0.077059	273.29	NaN
0.077098	273.40	NaN
0.077178	275.44	NaN
0.077338	278.63	NaN
0.077657	284.58	NaN
0.077816	287.87	NaN
0.078135	293.62	NaN
0.078295	296.85	NaN
0.078614	302.53	NaN
0.078773	305.73	NaN
0.079092	311.36	NaN
0.079252	314.54	NaN
0.079571	320.12	NaN
0.079730	323.28	NaN
0.080050	328.95	NaN
0.080209	332.15	NaN
0.080528	337.88	NaN
0.080688	341.06	NaN
0.081007	346.73	NaN
0.081007	338.04	NaN
0.081155	342.20	NaN
0.081268	344.23	NaN
0.081494	348.07	NaN
0.081607	350.19	NaN
0.081833	353.97	NaN
0.081946	356.07	NaN
0.082172	359.82	NaN
0.082285	361.89	NaN
0.082511	365.71	NaN
0.082624	367.80	NaN
0.082850	371.63	NaN
0.082963	373.71	NaN
0.083189	377.51	NaN
0.083302	379.57	NaN
0.083528	383.34	NaN
0.083640	385.39	NaN
0.083866	389.12	NaN
0.083979	391.17	NaN
0.084205	394.89	NaN
0.084318	396.93	NaN
0.084544	400.62	NaN
0.084657	402.64	NaN
0.084883	406.30	NaN
0.084996	408.30	NaN
0.084996	396.70	NaN
0.085182	402.26	NaN
0.085315	404.53	NaN
0.085580	408.71	NaN
0.085712	410.97	NaN
0.085978	415.07	NaN
0.086110	417.30	NaN
0.086375	421.34	NaN
0.086508	423.54	NaN
0.086773	427.52	NaN
0.086906	429.69	NaN
0.087171	433.61	NaN
0.087304	435.75	NaN
0.087569	439.61	NaN
0.087701	441.72	NaN
0.087967	445.53	NaN
0.088099	447.61	NaN
0.088364	451.60	NaN
0.088497	453.75	NaN
0.088762	457.68	NaN
0.088895	459.80	NaN
0.088895	446.82	NaN
0.089027	451.27	NaN
0.089143	452.95	NaN
0.089375	456.08	NaN
0.089491	457.75	NaN
0.089722	460.80	NaN
0.089838	462.44	NaN
0.090070	465.45	NaN
0.090186	467.06	NaN
0.090418	470.02	NaN
0.090533	471.61	NaN
0.090765	474.54	NaN
0.090881	476.10	NaN
0.091113	478.98	NaN
0.091229	480.53	NaN
0.091460	483.37	NaN
0.091576	484.89	NaN
0.091808	487.68	NaN
0.091924	489.18	NaN
0.092155	491.97	NaN
0.092271	493.46	NaN
0.092503	496.25	NaN
0.092619	497.71	NaN
0.092851	500.46	NaN
0.092966	501.90	NaN
0.092966	488.56	NaN
0.093082	492.06	NaN
0.093186	493.26	NaN
0.093395	495.52	NaN
0.093499	496.68	NaN
0.093708	498.86	NaN
0.093812	499.99	NaN
0.094021	502.13	NaN
0.094125	503.23	NaN
0.094333	505.34	NaN
0.094438	506.43	NaN
0.094646	508.51	NaN
0.094751	509.60	NaN
0.094959	511.73	NaN
0.095063	512.80	NaN
0.095272	514.88	NaN
0.095376	515.93	NaN
0.095585	517.98	NaN
0.095689	519.00	NaN
0.095897	521.00	NaN
0.096002	522.01	NaN
0.096210	523.96	NaN
0.096315	524.95	NaN
0.096523	526.86	NaN
0.096627	527.82	NaN
0.096836	529.69	NaN
0.096940	530.63	NaN
0.096940	517.47	NaN
0.097130	520.92	NaN
0.097272	522.12	NaN
0.097556	524.35	NaN
0.097698	525.51	NaN
0.097983	527.63	NaN
0.098125	528.75	NaN
0.098409	530.78	NaN
0.098551	531.84	NaN
0.098835	533.79	NaN
0.098977	534.81	NaN
0.099262	536.66	NaN
0.099404	537.63	NaN
0.099688	539.40	NaN
0.099830	540.32	NaN
0.10011	542.15	NaN
0.10026	543.11	NaN
0.10054	544.93	NaN
0.10068	545.85	NaN
0.10097	547.61	NaN
0.10097	535.01	NaN
0.10112	536.60	NaN
0.10124	537.16	NaN
0.10148	538.25	NaN
0.10160	538.78	NaN
0.10183	539.81	NaN
0.10195	540.30	NaN
0.10219	541.28	NaN
0.10231	541.78	NaN
0.10255	542.81	NaN
0.10267	543.29	NaN
0.10291	544.26	NaN
0.10303	544.70	NaN
0.10327	545.62	NaN
0.10339	546.03	NaN
0.10363	546.88	NaN
0.10375	547.26	NaN
0.10399	548.05	NaN
0.10411	548.40	NaN
0.10435	549.14	NaN
0.10447	549.45	NaN
0.10471	550.13	NaN
0.10483	550.42	NaN
0.10507	551.04	NaN
0.10507	538.74	NaN
0.10520	539.40	NaN
0.10531	539.49	NaN
0.10553	539.78	NaN
0.10564	539.86	NaN
0.10586	540.09	NaN
0.10597	540.14	NaN
0.10619	540.32	NaN
0.10630	540.35	NaN
0.10651	540.48	NaN
0.10662	540.48	NaN
0.10684	540.64	NaN
0.10695	540.64	NaN
0.10717	540.78	NaN
0.10728	540.76	NaN
0.10750	540.85	NaN
0.10761	540.80	NaN
0.10783	540.85	NaN
0.10794	540.77	NaN
0.10815	540.77	NaN
0.10826	540.67	NaN
0.10848	540.63	NaN
0.10859	540.50	NaN
0.10881	540.41	NaN
0.10892	540.26	NaN
0.10914	540.12	NaN
0.10914	528.75	NaN
0.10927	528.82	NaN
0.10938	528.53	NaN
0.10959	528.10	NaN
0.10970	527.79	NaN
0.10992	527.32	NaN
0.11003	527.00	NaN
0.11025	526.54	NaN
0.11036	526.19	NaN
0.11058	525.68	NaN
0.11069	525.31	NaN
0.11090	524.74	NaN
0.11101	524.34	NaN
