Time (s)	Shear rate (1/s), Domain Probe 1
0.027361	2068.9
0.027377	2069.9
0.027379	2070.5
0.027380	2070.6
0.027382	2070.8
0.027386	2071.2
0.027386	2071.3
0.027387	2071.3
0.027389	2071.5
0.027393	2071.7
0.027395	2071.9
0.027399	2072.2
0.027407	2072.6
0.027423	2073.3
0.027454	2074.8
0.027518	2077.8
0.027549	2079.3
0.027613	2082.2
0.027740	2087.2
0.027803	2089.3
0.027811	2090.0
0.027815	2090.3
0.027823	2090.7
0.027839	2091.0
0.027870	2091.9
0.027934	2093.5
0.027965	2094.3
0.027981	2094.8
0.028013	2095.7
0.028029	2095.9
0.028029	2098.2
0.028033	2096.7
0.028037	2096.7
0.028045	2096.8
0.028060	2096.9
0.028092	2097.2
0.028108	2097.5
0.028140	2098.2
0.028203	2099.2
0.028235	2099.9
0.028251	2100.3
0.028282	2100.6
0.028346	2101.4
0.028377	2101.9
0.028393	2102.1
0.028395	2102.6
0.028399	2102.7
0.028407	2102.9
0.028423	2102.9
0.028455	2102.9
0.028470	2103.1
0.028472	2103.5
0.028476	2103.6
0.028484	2103.7
0.028500	2103.6
0.028532	2103.5
0.028595	2103.5
0.028627	2103.2
0.028643	2103.3
0.028674	2103.2
0.028738	2102.5
0.028740	2103.4
0.028741	2103.2
0.028743	2103.2
0.028747	2103.2
0.028755	2103.2
0.028759	2103.2
0.028767	2103.1
0.028768	2103.2
0.028770	2103.2
0.028774	2103.1
0.028781	2103.1
0.028785	2103.1
0.028793	2103.0
0.028809	2102.7
0.028841	2102.1
0.028904	2101.2
0.028912	2101.3
0.028928	2100.7
0.028936	2100.8
0.028952	2100.3
0.028983	2099.5
0.029047	2098.0
0.029079	2097.1
0.029094	2096.8
0.029126	2095.9
0.029126	2097.7
0.029128	2096.4
0.029130	2096.2
0.029133	2096.2
0.029141	2096.0
0.029155	2095.6
0.029183	2094.7
0.029240	2093.1
0.029248	2093.4
0.029262	2092.8
0.029290	2091.7
0.029347	2090.0
0.029376	2089.0
0.029433	2087.5
0.029547	2082.1
0.029561	2081.5
0.029568	2081.4
0.029583	2080.7
0.029611	2079.3
0.029668	2076.4
0.029782	2070.1
0.029839	2067.7
0.029868	2065.6
0.029871	2065.9
0.029879	2065.4
0.029893	2064.4
0.029921	2062.8
0.029936	2061.8
0.029964	2059.7
0.030021	2055.4
0.030050	2053.7
0.030064	2052.8
0.030066	2053.1
0.030069	2052.8
0.030076	2052.4
0.030091	2051.5
0.030119	2049.4
0.030133	2048.5
0.030162	2046.4
0.030176	2045.5
0.030205	2043.5
0.030219	2042.5
0.030219	2044.6
0.030233	2053.6
0.030246	2046.6
0.030272	2044.5
0.030323	2037.5
0.030426	2027.4
0.030439	2027.1
0.030440	2027.0
0.030443	2026.5
0.030450	2025.9
0.030463	2024.7
0.030469	2024.2
0.030482	2023.0
0.030508	2020.7
0.030520	2019.6
0.030546	2017.1
0.030598	2012.5
0.030700	2002.8
0.030713	2002.0
0.030739	1999.2
0.030745	1998.7
0.030758	1997.7
0.030784	1995.0
0.030796	1993.6
0.030822	1990.9
0.030873	1985.4
0.030976	1974.3
0.031027	1969.0
0.031130	1958.9
0.031130	1972.9
0.031233	1948.0
0.031325	1936.3
0.031510	1912.5
0.031602	1901.1
0.031649	1895.2
0.031672	1892.0
0.031675	1891.7
0.031680	1890.8
0.031692	1889.0
0.031715	1885.8
0.031718	1885.6
0.031724	1884.7
0.031735	1883.0
0.031758	1879.7
0.031805	1873.0
0.031828	1869.7
0.031874	1863.2
0.031880	1862.7
0.031891	1860.8
0.031914	1857.6
0.031961	1850.8
0.031984	1847.8
0.031987	1847.5
0.031992	1846.5
0.032004	1845.1
0.032010	1844.1
0.032021	1842.1
0.032044	1839.3
0.032091	1832.0
0.032183	1817.8
0.032229	1811.0
0.032229	1818.6
0.032230	1811.6
0.032231	1810.9
0.032232	1810.7
0.032235	1810.2
0.032235	1810.1
0.032236	1810.0
0.032237	1809.8
0.032240	1809.3
0.032246	1808.4
0.032249	1808.0
0.032255	1807.1
0.032258	1806.7
0.032263	1805.7
0.032275	1803.9
0.032298	1800.2
0.032344	1792.8
0.032367	1789.3
0.032414	1781.7
0.032437	1778.2
0.032440	1777.9
0.032441	1777.6
0.032444	1777.1
0.032450	1776.0
0.032461	1774.0
0.032467	1773.0
0.032479	1771.0
0.032502	1767.0
0.032513	1765.2
0.032519	1764.3
0.032531	1762.3
0.032536	1761.3
0.032548	1759.3
0.032571	1755.3
0.032583	1753.4
0.032606	1749.3
0.032652	1741.4
0.032658	1741.0
0.032669	1738.8
0.032692	1734.4
0.032739	1726.2
0.032831	1710.1
0.032877	3559.7
0.032900	1698.8
0.032946	1690.3
0.032970	1686.4
0.033016	1677.8
0.033108	1660.5
0.033154	1652.5
0.033160	1651.6
0.033163	1651.0
0.033169	1649.7
0.033180	1647.4
0.033203	1642.9
0.033250	1634.0
0.033273	1629.6
0.033276	1629.2
0.033281	1627.9
0.033293	1625.6
0.033316	1621.1
0.033319	1620.7
0.033325	1619.4
0.033336	1617.1
0.033336	1619.2
0.033339	5111.5
0.033345	1616.2
0.033357	1613.6
0.033380	1608.7
0.033391	1606.6
0.033397	1605.4
0.033409	1603.0
0.033432	1598.3
0.033478	1588.9
0.033501	1584.5
0.033547	1576.3
0.033640	1557.0
0.033651	1554.9
0.033657	1553.6
0.033668	1551.3
0.033692	1546.7
0.033738	1537.2
0.033744	1536.3
0.033755	1533.7
0.033778	1529.0
0.033824	1519.4
0.033830	1518.5
0.033842	1516.0
0.033865	1511.1
0.033876	1508.8
0.033899	1503.8
0.033911	1501.4
0.033912	1501.2
0.033915	1500.5
0.033921	1499.1
0.033933	1496.7
0.033938	1495.4
0.033950	1493.0
0.033956	1491.7
0.033967	1489.7
0.033990	1588.4
0.034002	1482.1
0.034025	1477.0
0.034037	1474.6
0.034060	1469.6
0.034071	1467.0
0.034077	1465.7
0.034089	1463.2
0.034112	1458.1
0.034158	1447.9
0.034181	1977.0
0.034227	1945.1
0.034320	1412.4
0.034331	1410.7
0.034337	1409.2
0.034349	1406.6
0.034372	1401.4
0.034383	1399.0
0.034406	1393.8
0.034452	1383.4
0.034452	7709.1
0.034453	1384.8
